rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,match_id,match_name,set_num,tournament,year,winner,loser,stroke_type_english,clip_name
1,2.0,00:07:43,11582.0,1,0,B,3,長球,,1.0,2.0,7.0,620.0,407.0,2.0,13.0,825.0,679.0,出界,對手出界,A,,8.0,598.0,394.0,8.0,640.0,560.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally1_ball2_Clear.mp4
2,3.0,0:07:56,11921.0,2,0,A,2,殺球,,,2.0,8.0,527.0,627.0,1.0,8.0,604.0,353.0,,,,,8.0,558.0,613.0,8.0,625.0,358.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Smash,01_set1_rally2_ball3_Smash.mp4
3,4.0,0:08:14,12362.0,2,1,B,2,殺球,,,1.0,3.0,521.0,321.0,2.0,8.0,715.0,566.0,,,,,9.0,559.0,327.0,8.0,612.0,576.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Smash,01_set1_rally3_ball4_Smash.mp4
3,18.0,0:08:28,12702.0,2,1,B,2,長球,,,2.0,9.0,544.0,323.0,1.0,4.0,481.0,636.0,,,,,8.0,549.0,338.0,8.0,610.0,577.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally3_ball18_Clear.mp4
3,19.0,0:08:29,12735.0,2,1,A,2,長球,,,2.0,4.0,481.0,636.0,1.0,9.0,530.0,327.0,,,,,9.0,498.0,636.0,8.0,623.0,365.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally3_ball19_Clear.mp4
3,23.0,0:08:33,12847.0,2,1,A,2,長球,,,2.0,4.0,463.0,653.0,1.0,3.0,487.0,322.0,,,,,9.0,551.0,655.0,8.0,636.0,365.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally3_ball23_Clear.mp4
3,24.0,0:08:35,12875.0,2,1,B,2,殺球,,,1.0,3.0,487.0,322.0,2.0,8.0,503.0,579.0,,,,,5.0,510.0,335.0,8.0,600.0,592.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Smash,01_set1_rally3_ball24_Smash.mp4
5,5.0,0:09:20,14001.0,3,2,A,2,殺球,1.0,,1.0,8.0,700.0,593.0,2.0,8.0,729.0,354.0,,,,,8.0,674.0,603.0,8.0,627.0,359.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Smash,01_set1_rally5_ball5_Smash.mp4
5,7.0,0:09:21,14044.0,3,2,A,2,長球,,,2.0,8.0,501.0,624.0,1.0,3.0,508.0,328.0,,,,,9.0,534.0,638.0,8.0,630.0,358.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally5_ball7_Clear.mp4
5,8.0,0:09:22,14070.0,3,2,B,2,殺球,,,1.0,3.0,508.0,328.0,2.0,8.0,523.0,558.0,,,,,5.0,493.0,331.0,8.0,598.0,589.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Smash,01_set1_rally5_ball8_Smash.mp4
