rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,match_id,match_name,set_num,stroke_type_english,clip_name
1,2.0,00:03:55,7059.0,1,0,A,2,放小球,,,2.0,7.0,559.0,361.0,2.0,7.0,748.0,423.0,,,,,7.0,556.0,354.0,8.0,629.0,500.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Drop,01_set1_rally1_ball2_Drop.mp4
1,6.0,00:04:00,7199.0,1,0,A,3,殺球,,,1.0,3.0,441.0,253.0,2.0,6.0,905.0,532.0,對手落地致勝,落地致勝,A,,3.0,458.0,256.0,8.0,587.0,540.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally1_ball6_Smash.mp4
2,4.0,00:04:14,7642.0,2,0,B,2,放小球,,,2.0,2.0,821.0,465.0,2.0,2.0,851.0,349.0,,,,,8.0,783.0,480.0,8.0,694.0,274.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Drop,01_set1_rally2_ball4_Drop.mp4
3,2.0,00:04:28,8039.0,3,0,B,2,放小球,,,2.0,7.0,709.0,466.0,2.0,7.0,486.0,352.0,,,,,8.0,704.0,484.0,8.0,625.0,308.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Drop,01_set1_rally3_ball2_Drop.mp4
3,3.0,00:04:29,8065.0,3,0,A,2,放小球,,,2.0,7.0,486.0,352.0,2.0,1.0,372.0,431.0,,,,,7.0,528.0,341.0,8.0,635.0,490.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Drop,01_set1_rally3_ball3_Drop.mp4
4,2.0,00:04:46,8593.0,4,0,B,2,放小球,,,2.0,7.0,589.0,468.0,2.0,7.0,482.0,353.0,,,,,8.0,570.0,486.0,8.0,610.0,309.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Drop,01_set1_rally4_ball2_Drop.mp4
4,8.0,00:04:52,8760.0,4,0,B,2,放小球,,,2.0,2.0,818.0,433.0,2.0,2.0,864.0,371.0,,,,,7.0,760.0,450.0,8.0,589.0,302.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Drop,01_set1_rally4_ball8_Drop.mp4
4,12.0,00:04:57,8913.0,4,0,B,2,殺球,,,1.0,3.0,328.0,596.0,2.0,5.0,404.0,299.0,,,,,5.0,428.0,580.0,8.0,513.0,298.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally4_ball12_Smash.mp4
6,6.0,00:05:43,10300.0,5,1,A,2,殺球,,,1.0,5.0,455.0,264.0,2.0,5.0,422.0,532.0,,,,,3.0,464.0,257.0,8.0,624.0,549.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally6_ball6_Smash.mp4
6,9.0,00:05:45,10365.0,5,1,B,2,放小球,,,2.0,7.0,662.0,464.0,2.0,7.0,641.0,358.0,,,,,8.0,615.0,481.0,8.0,612.0,310.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Drop,01_set1_rally6_ball9_Drop.mp4
