rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,match_id,match_name,set_num,stroke_type_english,clip_name
1,3.0,00:03:56,7083.0,1,0,B,2,挑球,,,2.0,7.0,748.0,423.0,1.0,3.0,467.0,256.0,,,,,7.0,748.0,457.0,8.0,652.0,316.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally1_ball3_Lift.mp4
1,6.0,00:04:00,7199.0,1,0,A,3,殺球,,,1.0,3.0,441.0,253.0,2.0,6.0,905.0,532.0,對手落地致勝,落地致勝,A,,3.0,458.0,256.0,8.0,587.0,540.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally1_ball6_Smash.mp4
3,7.0,00:04:33,8187.0,3,0,A,3,挑球,,,2.0,1.0,417.0,356.0,2.0,4.0,923.0,634.0,對手落地致勝,落地致勝,A,,1.0,417.0,359.0,8.0,535.0,509.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally3_ball7_Lift.mp4
4,4.0,00:04:48,8645.0,4,0,B,2,挑球,,,2.0,2.0,835.0,437.0,1.0,4.0,802.0,256.0,,,,,7.0,768.0,448.0,8.0,652.0,317.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally4_ball4_Lift.mp4
4,11.0,00:04:56,8878.0,4,0,A,2,挑球,,,2.0,5.0,410.0,336.0,1.0,3.0,328.0,596.0,,,,,5.0,463.0,323.0,8.0,661.0,560.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally4_ball11_Lift.mp4
4,12.0,00:04:57,8913.0,4,0,B,2,殺球,,,1.0,3.0,328.0,596.0,2.0,5.0,404.0,299.0,,,,,5.0,428.0,580.0,8.0,513.0,298.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally4_ball12_Smash.mp4
4,14.0,00:04:58,8946.0,4,0,B,2,挑球,,,2.0,8.0,741.0,521.0,1.0,8.0,741.0,288.0,,,,,8.0,637.0,543.0,5.0,484.0,286.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally4_ball14_Lift.mp4
5,2.0,00:05:15,9450.0,4,1,B,2,挑球,,,2.0,7.0,792.0,472.0,1.0,4.0,813.0,257.0,,,,,8.0,749.0,480.0,8.0,646.0,320.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally5_ball2_Lift.mp4
6,6.0,00:05:43,10300.0,5,1,A,2,殺球,,,1.0,5.0,455.0,264.0,2.0,5.0,422.0,532.0,,,,,3.0,464.0,257.0,8.0,624.0,549.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally6_ball6_Smash.mp4
7,2.0,00:06:01,10822.0,5,2,B,2,挑球,,,2.0,7.0,540.0,465.0,1.0,3.0,452.0,249.0,,,,,7.0,532.0,473.0,8.0,604.0,305.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally7_ball2_Lift.mp4
