rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,match_id,match_name,set_num,stroke_type_english,clip_name
1,2.0,00:03:55,7059.0,1,0,A,2,放小球,,,2.0,7.0,559.0,361.0,2.0,7.0,748.0,423.0,,,,,7.0,556.0,354.0,8.0,629.0,500.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Drop,01_set1_rally1_ball2_Drop.mp4
1,3.0,00:03:56,7083.0,1,0,B,2,挑球,,,2.0,7.0,748.0,423.0,1.0,3.0,467.0,256.0,,,,,7.0,748.0,457.0,8.0,652.0,316.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally1_ball3_Lift.mp4
1,4.0,00:03:57,7123.0,1,0,A,2,長球,,,1.0,3.0,467.0,256.0,1.0,3.0,361.0,610.0,,,,,3.0,486.0,248.0,8.0,626.0,499.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Clear,01_set1_rally1_ball4_Clear.mp4
1,5.0,00:03:58,7155.0,1,0,B,2,長球,,,1.0,3.0,361.0,610.0,1.0,3.0,441.0,253.0,,,,,8.0,481.0,570.0,8.0,546.0,275.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Clear,01_set1_rally1_ball5_Clear.mp4
1,6.0,00:04:00,7199.0,1,0,A,3,殺球,,,1.0,3.0,441.0,253.0,2.0,6.0,905.0,532.0,對手落地致勝,落地致勝,A,,3.0,458.0,256.0,8.0,587.0,540.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally1_ball6_Smash.mp4
2,4.0,00:04:14,7642.0,2,0,B,2,放小球,,,2.0,2.0,821.0,465.0,2.0,2.0,851.0,349.0,,,,,8.0,783.0,480.0,8.0,694.0,274.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Drop,01_set1_rally2_ball4_Drop.mp4
3,2.0,00:04:28,8039.0,3,0,B,2,放小球,,,2.0,7.0,709.0,466.0,2.0,7.0,486.0,352.0,,,,,8.0,704.0,484.0,8.0,625.0,308.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Drop,01_set1_rally3_ball2_Drop.mp4
3,3.0,00:04:29,8065.0,3,0,A,2,放小球,,,2.0,7.0,486.0,352.0,2.0,1.0,372.0,431.0,,,,,7.0,528.0,341.0,8.0,635.0,490.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Drop,01_set1_rally3_ball3_Drop.mp4
3,7.0,00:04:33,8187.0,3,0,A,3,挑球,,,2.0,1.0,417.0,356.0,2.0,4.0,923.0,634.0,對手落地致勝,落地致勝,A,,1.0,417.0,359.0,8.0,535.0,509.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally3_ball7_Lift.mp4
4,2.0,00:04:46,8593.0,4,0,B,2,放小球,,,2.0,7.0,589.0,468.0,2.0,7.0,482.0,353.0,,,,,8.0,570.0,486.0,8.0,610.0,309.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Drop,01_set1_rally4_ball2_Drop.mp4
4,4.0,00:04:48,8645.0,4,0,B,2,挑球,,,2.0,2.0,835.0,437.0,1.0,4.0,802.0,256.0,,,,,7.0,768.0,448.0,8.0,652.0,317.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally4_ball4_Lift.mp4
4,8.0,00:04:52,8760.0,4,0,B,2,放小球,,,2.0,2.0,818.0,433.0,2.0,2.0,864.0,371.0,,,,,7.0,760.0,450.0,8.0,589.0,302.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Drop,01_set1_rally4_ball8_Drop.mp4
4,11.0,00:04:56,8878.0,4,0,A,2,挑球,,,2.0,5.0,410.0,336.0,1.0,3.0,328.0,596.0,,,,,5.0,463.0,323.0,8.0,661.0,560.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally4_ball11_Lift.mp4
4,12.0,00:04:57,8913.0,4,0,B,2,殺球,,,1.0,3.0,328.0,596.0,2.0,5.0,404.0,299.0,,,,,5.0,428.0,580.0,8.0,513.0,298.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally4_ball12_Smash.mp4
4,14.0,00:04:58,8946.0,4,0,B,2,挑球,,,2.0,8.0,741.0,521.0,1.0,8.0,741.0,288.0,,,,,8.0,637.0,543.0,5.0,484.0,286.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally4_ball14_Lift.mp4
4,16.0,00:05:00,8996.0,4,0,B,3,長球,,,1.0,4.0,918.0,610.0,2.0,12.0,883.0,246.0,出界,對手出界,A,,6.0,832.0,588.0,8.0,684.0,301.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Clear,01_set1_rally4_ball16_Clear.mp4
5,2.0,00:05:15,9450.0,4,1,B,2,挑球,,,2.0,7.0,792.0,472.0,1.0,4.0,813.0,257.0,,,,,8.0,749.0,480.0,8.0,646.0,320.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally5_ball2_Lift.mp4
